arm,config_key,pipeline_stages,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,recall_Unripe,recall_Ripe,recall_Rotten,extraction_mean_s,rows,levels,glcm_cells,mean_degenerate_slices,background_only_control,reference_arm,paired_diff_mean,paired_diff_sd,within_noise,paired_t_supporting,paired_p_supporting
levels_16,levels_16,4,40,0.5933195795264761,0.015739744153714368,0.5949911334618587,0.015873918821992447,0.5925925925925926,0.5862068965517241,0.583554376657825,0.583554376657825,0.6206896551724138,0.6,0.6466876971608833,0.533751962323391,0.0006825230116630794,1886,16,256,0.0,0.7395833333333334,levels_32,-0.010612886474955462,0.015348932501313426,True,-1.546109841414563,0.19697668756421238
levels_32,baseline,4,40,0.6039324660014316,0.023271559334490374,0.604765940040786,0.023999013331407002,0.5873015873015873,0.583554376657825,0.5941644562334217,0.6153846153846154,0.6392572944297082,0.6764227642276422,0.5899053627760252,0.5478806907378336,0.0010517841993640804,1886,32,1024,0.0,0.7395833333333334,levels_32,0.0,0.0,True,,
levels_64,levels_64,4,40,0.6076431869535317,0.021762139357244543,0.6073960698856744,0.022754778134761598,0.5925925925925926,0.5862068965517241,0.6047745358090185,0.6127320954907162,0.6419098143236074,0.7073170731707317,0.5741324921135647,0.5447409733124019,0.002057047507959322,1886,64,4096,0.0,0.7395833333333334,levels_32,0.0037107209521002106,0.004817386766462621,True,1.7223911420592795,0.16010139861136974
