arm,config_key,dropped_feature,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,recall_Unripe,recall_Ripe,recall_Rotten,precision_Unripe,precision_Ripe,precision_Rotten,extraction_mean_s,fit_seconds_mean,pipeline_stages,rows,distances,reference_arm,paired_diff_mean,paired_diff_sd,within_noise,paired_t_supporting,paired_p_supporting
d=[1],d1,,20,0.600220341599652,0.02393844991943471,0.6012333290316211,0.02480194553722879,0.5846560846560847,0.583554376657825,0.5862068965517241,0.6074270557029178,0.6392572944297082,0.6682926829268293,0.5946372239747634,0.5400313971742543,0.6199095022624435,0.5192837465564738,0.6921529175050302,0.0008490248657328453,0.06176867997273803,4,1886,[1],"d=[1,2]",-0.003712124401779593,0.004023209494653616,True,-2.0631693463503225,0.1080634710107036
"d=[1,2]",t2_default,,40,0.6039324660014316,0.023271559334490374,0.604765940040786,0.023999013331407002,0.5873015873015873,0.583554376657825,0.5941644562334217,0.6153846153846154,0.6392572944297082,0.6764227642276422,0.5899053627760252,0.5478806907378336,0.6190476190476191,0.5252808988764045,0.6952191235059761,0.0010962499940643444,0.06926923990249634,4,1886,"[1, 2]","d=[1,2]",0.0,0.0,True,,
"d=[1,2,3]",d123,,60,0.6060516750171923,0.02512668633005543,0.6068743876562961,0.02571759252902745,0.5925925925925926,0.583554376657825,0.5915119363395226,0.6180371352785146,0.6445623342175066,0.6747967479674797,0.5883280757097792,0.5572998430141287,0.6166419019316494,0.5320970042796006,0.693359375,0.0011968261916348404,0.0782588199712336,4,1886,"[1, 2, 3]","d=[1,2]",0.0021192090157607256,0.003455237815701805,True,1.371452753913818,0.24213484219132814
