table,arm,reference_arm,paired_diff_mean,paired_diff_sd,band_distinguishes,test_distinguishes,paired_p_supporting,criteria_agree
e2_1,intensity_moments,glcm,-0.08696335592887319,0.028737806848858655,True,True,0.0024885738501764054,True
e2_2,d=[1],"d=[1,2]",-0.003712124401779593,0.004023209494653616,False,False,0.1080634710107036,True
e2_2,"d=[1,2,3]","d=[1,2]",0.0021192090157607256,0.003455237815701805,False,False,0.24213484219132814,True
e2_3,levels=16,levels=32,-0.010612886474955462,0.015348932501313426,False,False,0.19697668756421238,True
e2_3,levels=64,levels=32,0.0037107209521002106,0.004817386766462621,False,False,0.16010139861136974,True
e2_4,angle-averaged,per-angle,-0.003192848020434247,0.013028205306439625,False,False,0.6128389665023147,True
