arm,config_key,dropped_feature,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,recall_Unripe,recall_Ripe,recall_Rotten,precision_Unripe,precision_Ripe,precision_Rotten,extraction_mean_s,fit_seconds_mean,pipeline_stages,rows,angle_averaged,reference_arm,paired_diff_mean,paired_diff_sd,within_noise,paired_t_supporting,paired_p_supporting
per-angle,t2_default,,40,0.6039324660014316,0.023271559334490374,0.604765940040786,0.023999013331407002,0.5873015873015873,0.583554376657825,0.5941644562334217,0.6153846153846154,0.6392572944297082,0.6764227642276422,0.5899053627760252,0.5478806907378336,0.6190476190476191,0.5252808988764045,0.6952191235059761,0.0010962499940643444,0.06856905994936824,4,1886,False,per-angle,0.0,0.0,True,,
angle-averaged,angle_averaged,,10,0.6007396179809973,0.017322075890206675,0.6008909673760185,0.017710104186700132,0.6058201058201058,0.5809018567639257,0.5888594164456233,0.6021220159151194,0.6259946949602122,0.6634146341463415,0.6072555205047319,0.533751962323391,0.6044444444444445,0.5369595536959554,0.6882591093117408,0.0010506619841516144,0.04779863990843296,4,1886,True,per-angle,-0.003192848020434247,0.013028205306439625,True,-0.5479975981026116,0.6128389665023147
