,precision,recall,f1,support
Unripe,0.5416666666666666,0.6842105263157895,0.6046511627906976,19
Ripe,0.6111111111111112,0.55,0.5789473684210527,20
Rotten,0.7058823529411765,0.6,0.6486486486486487,20
