,precision,recall,f1,support
Unripe,0.9491525423728814,0.9491525423728814,0.9491525423728814,59
Ripe,0.8095238095238095,0.864406779661017,0.8360655737704918,59
Rotten,0.875,0.8166666666666667,0.8448275862068966,60
