,precision,recall,f1,support
Unripe,0.6875,0.559322033898305,0.616822429906542,59
Ripe,0.5280898876404494,0.7966101694915254,0.6351351351351351,59
Rotten,0.7317073170731707,0.5,0.594059405940594,60
