class,name,coverage,polarity,failed,border_std,background_leakage
Unripe,UnripeApple (1).jpg,0.2034638073979592,n/a,False,92.4138626148053,0.2574199235968263
Unripe,UnripeApple (10).jpg,0.16350446428571427,n/a,False,53.01589552724702,0.2460994636762555
Unripe,UnripeApple (100).jpg,0.27321827168367346,n/a,False,69.92640152059437,0.04398570282296302
Unripe,UnripeApple (101).jpg,0.2763073979591837,n/a,False,64.52971770812809,0.12485574148874784
Unripe,UnripeApple (102).jpg,0.2760682397959184,n/a,False,64.65001183909645,0.13016170950043315
Unripe,UnripeApple (103).jpg,0.13396843112244897,n/a,False,72.67401274773214,0.018744421303183576
Unripe,UnripeApple (104).jpg,0.18522799744897958,n/a,False,72.85765521696686,0.017753389283408652
Unripe,UnripeApple (105).jpg,0.09887197066326531,n/a,False,84.92832239785979,0.0
Unripe,UnripeApple (106).jpg,0.09923070790816327,n/a,False,85.00571479845075,0.0002008435428800964
Unripe,UnripeApple (107).jpg,0.26369180484693877,n/a,False,67.00509534172484,0.0002267402312750359
Unripe,UnripeApple (108).jpg,0.25155452806122447,n/a,False,67.08502364134544,0.00039613373474885124
Unripe,UnripeApple (109).jpg,0.09042171556122448,n/a,True,80.21609062885653,0.11196826096539564
Unripe,UnripeApple (11).jpg,0.19447544642857142,n/a,False,79.82680286709656,0.007173601147776184
Unripe,UnripeApple (110).jpg,0.20021524234693877,n/a,False,80.45563481076721,0.1039219589886522
Unripe,UnripeApple (111).jpg,0.12645487882653061,n/a,False,36.26447543023849,0.00047281323877068556
Unripe,UnripeApple (112).jpg,0.14524872448979592,n/a,False,36.327171520689,0.000411635565312843
Unripe,UnripeApple (113).jpg,0.1740672831632653,n/a,False,26.946761704779775,0.014082894435539272
Unripe,UnripeApple (114).jpg,0.1800860969387755,n/a,False,27.033527761142597,0.014940239043824702
Unripe,UnripeApple (115).jpg,0.1444515306122449,n/a,False,76.36439750203041,0.20143487858719647
Unripe,UnripeApple (116).jpg,0.14488998724489796,n/a,False,76.40450885228695,0.2250343878954608
Unripe,UnripeApple (117).jpg,0.20976163903061223,n/a,False,80.55487226830171,0.26156769596199525
Unripe,UnripeApple (118).jpg,0.2108577806122449,n/a,False,80.57741338579504,0.24706994328922496
Unripe,UnripeApple (119).jpg,0.17912946428571427,n/a,False,81.09412452937325,0.18413440142412105
Unripe,UnripeApple (12).jpg,0.2298907844387755,n/a,False,79.88694673289241,0.02904204594711747
Unripe,UnripeApple (120).jpg,0.18024553571428573,n/a,False,81.13785596126588,0.17094206103494028
Unripe,UnripeApple (121).jpg,0.2316047512755102,n/a,False,62.85796431563289,0.08837449444970312
Unripe,UnripeApple (122).jpg,0.2318439094387755,n/a,False,62.917098118773445,0.09103412705235107
Unripe,UnripeApple (123).jpg,0.15080915178571427,n/a,False,53.69545872795482,0.04453548301836924
Unripe,UnripeApple (124).jpg,0.28477758290816324,n/a,False,53.76298445617152,0.04814892574707817
Unripe,UnripeApple (125).jpg,0.12187101403061225,n/a,False,52.07284660420563,0.0
Unripe,UnripeApple (126).jpg,0.14367426658163265,n/a,False,52.11834350440456,0.0
Unripe,UnripeApple (127).jpg,0.24286511479591838,n/a,False,60.020113968315194,0.02420810766453307
Unripe,UnripeApple (128).jpg,0.2430046237244898,n/a,False,60.051739106222755,0.02526039530878373
Unripe,UnripeApple (129).jpg,0.49794722576530615,n/a,False,56.97165875577617,0.006323794276565939
Unripe,UnripeApple (13).jpg,0.09986846301020408,n/a,False,48.78357091473166,0.03232887647176212
Unripe,UnripeApple (130).jpg,0.30147879464285715,n/a,False,56.997282449983,0.01064322073114299
Unripe,UnripeApple (131).jpg,0.33872767857142855,n/a,False,56.82579945695795,0.016003765591903977
Unripe,UnripeApple (132).jpg,0.33071588010204084,n/a,False,56.849509616455954,0.01572857659394962
Unripe,UnripeApple (133).jpg,0.28427933673469385,n/a,False,58.0041022693779,0.14441951766685363
Unripe,UnripeApple (134).jpg,0.2766661352040816,n/a,False,58.092360001638816,0.15840656965855063
Unripe,UnripeApple (135).jpg,0.14433195153061223,n/a,False,67.6702835629244,0.07484120408726871
Unripe,UnripeApple (136).jpg,0.14309630102040816,n/a,False,67.76731725532214,0.0777158774373259
Unripe,UnripeApple (137).jpg,0.4230907206632653,n/a,False,29.214577772758293,0.00018842149889302368
Unripe,UnripeApple (138).jpg,0.33922592474489793,n/a,False,29.211450583683117,0.0003525057282180835
Unripe,UnripeApple (139).jpg,0.3753188775510204,n/a,False,55.60122591205619,0.003929481733220051
Unripe,UnripeApple (14).jpg,0.10042649872448979,n/a,False,48.87009824359529,0.03195078388569161
Unripe,UnripeApple (140).jpg,0.3754185267857143,n/a,False,55.63150790016166,0.0029728725380899295
Unripe,UnripeApple (141).jpg,0.2620376275510204,n/a,False,38.11746917171309,0.12275631274718589
