class,n,mean_coverage,median_coverage,n_failed,pct_failed,pct_polarity_dark,mean_border_std,pct_plain_background
20%,100,0.4925474330357143,0.4850027901785714,0,0.0,95.0,38.02114578449343,0.0
40%,100,0.5553958067602041,0.5487583705357142,0,0.0,100.0,32.326986644096046,25.0
60%,100,0.48614616549744893,0.5100147480867347,0,0.0,100.0,46.06335695058755,0.0
80%,100,0.44275330835459187,0.49423030931122447,0,0.0,100.0,35.18824155658956,8.0
100%,100,0.5032106983418367,0.5513891103316326,0,0.0,100.0,44.062646027137355,11.0
