class,name,coverage,polarity,failed,border_std
UnripeApple,aug_0_1.jpg,0.12739158163265307,dark,False,41.00334496643224
UnripeApple,aug_0_100.jpg,0.3565250318877551,dark,False,39.614252747655904
UnripeApple,aug_0_1003.jpg,0.5268853635204082,dark,False,40.25501861816313
UnripeApple,aug_0_1006.jpg,0.30361128826530615,dark,False,44.33427639470364
UnripeApple,aug_0_101.jpg,0.5176777742346939,bright,False,37.48282302641176
UnripeApple,aug_0_1012.jpg,0.5828483737244898,bright,False,52.414554926742476
UnripeApple,aug_0_1013.jpg,0.44236288265306123,bright,False,43.94875073437293
UnripeApple,aug_0_1014.jpg,0.1394092793367347,bright,False,51.98788918600999
UnripeApple,aug_0_1027.jpg,0.18815768494897958,dark,False,44.35638750021864
UnripeApple,aug_0_1031.jpg,0.511100924744898,bright,False,77.25813891923688
UnripeApple,aug_0_1032.jpg,0.3977798150510204,bright,False,46.567621359911264
UnripeApple,aug_0_1041.jpg,0.4942602040816326,bright,False,50.72688811563594
UnripeApple,aug_0_1042.jpg,0.19192442602040816,bright,False,65.8972703396765
UnripeApple,aug_0_1047.jpg,0.6698421556122449,dark,False,69.33614482788134
UnripeApple,aug_0_1048.jpg,0.29745296556122447,bright,False,50.016540574195325
UnripeApple,aug_0_1053.jpg,0.29591836734693877,bright,False,50.01834524134065
UnripeApple,aug_0_1059.jpg,0.3276267538265306,dark,False,49.81638439945602
UnripeApple,aug_0_1064.jpg,0.27046795280612246,bright,False,45.28191684407648
UnripeApple,aug_0_1086.jpg,0.2575135522959184,bright,False,46.59516025830853
UnripeApple,aug_0_1088.jpg,0.49453922193877553,bright,False,41.468762286269936
UnripeApple,aug_0_1091.jpg,0.1383330676020408,bright,False,57.52210341030399
UnripeApple,aug_0_1093.jpg,0.24166932397959184,dark,False,9.632811984870846
UnripeApple,aug_0_1095.jpg,0.35397401147959184,dark,False,55.81416429068611
UnripeApple,aug_0_1096.jpg,0.19453523596938777,dark,False,48.14882769718498
UnripeApple,aug_0_1100.jpg,0.3748804209183674,dark,False,44.655902434539804
UnripeApple,aug_0_1103.jpg,0.484554368622449,bright,False,40.479102825622384
UnripeApple,aug_0_1105.jpg,0.19025031887755103,bright,False,50.98936521922303
UnripeApple,aug_0_1108.jpg,0.20860570790816327,dark,False,46.936133906711994
UnripeApple,aug_0_1117.jpg,0.33944515306122447,dark,False,48.02327926625981
UnripeApple,aug_0_1124.jpg,0.26548549107142855,dark,False,47.999853989523785
UnripeApple,aug_0_1126.jpg,0.7111168686224489,bright,False,68.07355762775417
UnripeApple,aug_0_1132.jpg,0.5172393176020408,bright,False,60.06481334826007
UnripeApple,aug_0_1136.jpg,0.38205516581632654,bright,False,51.72152694126165
UnripeApple,aug_0_1140.jpg,0.21701610331632654,bright,False,50.193270347225166
UnripeApple,aug_0_1146.jpg,0.42807318239795916,bright,False,64.93524272974254
UnripeApple,aug_0_1150.jpg,0.40750558035714285,bright,False,67.83903784866042
UnripeApple,aug_0_1151.jpg,0.29227120535714285,dark,False,61.90762869552887
UnripeApple,aug_0_1153.jpg,0.4621532206632653,bright,False,64.30865937795721
UnripeApple,aug_0_1155.jpg,0.34946986607142855,dark,False,37.61330668018573
UnripeApple,aug_0_1161.jpg,0.28134964923469385,bright,False,62.443800284348754
UnripeApple,aug_0_1166.jpg,0.25019929846938777,bright,False,42.78994869311156
UnripeApple,aug_0_1167.jpg,0.44949776785714285,dark,False,45.42440183794895
UnripeApple,aug_0_1169.jpg,0.14359454719387754,dark,False,64.79645739566115
UnripeApple,aug_0_117.jpg,0.3898875956632653,bright,False,36.925016117870214
UnripeApple,aug_0_1170.jpg,0.4391342474489796,dark,False,100.65134851333566
UnripeApple,aug_0_1171.jpg,0.27070711096938777,bright,False,47.365558984408345
UnripeApple,aug_0_1173.jpg,0.33314732142857145,dark,False,36.56900464524762
