class,n,mean_coverage,median_coverage,n_failed,pct_failed,pct_polarity_dark,mean_border_std,pct_plain_background,pct_background_like
Unripe,800,0.2077143704161352,0.19135642538265307,36,4.5,0.0,57.386842805964285,0.0,21.702917012456094
Ripe,800,0.2836073770328444,0.2714943399234694,6,0.75,0.0,72.35364494168667,1.25,4.792279375913768
Rotten,800,0.27832820970184946,0.27208227040816324,4,0.5,0.0,65.57410590503258,16.0,2.9603696642919792
