cls,spec,fallback,n_empty,coh0,coh1,coh2,coh3,share0,share1,share2,share3
Unripe,9.795278675678323e-05,0,0,0.9192527869840313,0.9512034289482361,0.9582933844678811,0.9440677966101695,32.51371473354232,29.711990595611287,20.434952978056426,17.33934169278997
Unripe,0.0,0,0,0.9369944657300979,0.9480240549828178,0.9348986125933831,0.8263762855414398,28.63237445148708,28.37640175524135,22.842515845928816,20.148707947342757
Unripe,0.012473557516959662,0,0,0.9523271151309591,0.8975206611570248,0.9035498995311454,0.699009900990099,39.20076820800709,31.282316442605996,22.05643374205939,7.460481607327522
Unripe,0.023586266589728795,0,0,0.8958382318363508,0.923266648396821,0.8480439702554154,0.8013375295043274,31.417596217773507,26.955750904927235,22.84848932555219,18.778163551747063
Unripe,0.023390124169794975,0,0,0.9363444886496607,0.9216113228089275,0.837653920933247,0.8012024048096192,31.586339444115907,27.158486102897694,22.811945594322886,18.443228858663513
Unripe,0.01517405534067242,0,0,0.8684347373894956,0.900523560209424,0.8720999405116002,0.8481110254433307,29.048338368580062,25.966767371601208,25.39274924471299,19.592145015105743
Unripe,0.01646223369916075,0,0,0.8927259368111683,0.8535478547854786,0.8054818744473917,0.7201384881708021,29.777923640739523,26.51788644568428,24.745651460452905,18.958538453123293
Unripe,0.003829873009473896,0,0,0.951189749847468,0.8041958041958042,0.8996282527881041,0.8787234042553191,33.16471064346418,26.042088223391342,21.772561715904494,19.020639417239984
Unripe,0.004217714400482024,0,0,0.9480286738351255,0.8152914458743377,0.8976525821596244,0.8340757238307349,33.76361436062928,26.643807987091567,21.480435659540138,18.11214199273901
Unripe,0.0013604413876502153,0,0,0.942548921224285,0.9539508110936682,0.8193094200469326,0.9132947976878613,30.16725951714221,28.926057670476048,22.576250662226595,18.33043215015515
Unripe,0.0016637616859451752,0,0,0.9392089195646403,0.9297045951859956,0.7964666912035333,0.9065420560747663,29.894452821204666,29.013570351559398,21.561780811046745,19.53019601618919
Unripe,0.0,0,0,0.9500918554807104,0.9693406131877362,0.9432692307692307,0.9911373707533235,33.469973355195734,24.400491904078706,21.315843410534946,20.81369133019061
Unripe,0.020306589687437787,0,0,0.8624849215922799,0.8200161420500404,0.8429853181076672,0.7624742268041237,25.269254216622638,25.177809388335703,24.91363543995123,24.63930095509043
Unripe,0.0,0,0,0.9582811848143513,0.9526662672258838,0.9629080118694362,0.8184747583243824,37.77777777777778,26.304176516942473,21.24507486209614,14.672970843183608
Unripe,0.0,0,0,0.9371671991480298,0.949013949013949,0.9618430525557955,0.7547357926221336,38.652579582875966,28.52634467618002,19.058726673984633,13.762349066959384
Unripe,0.0036638424547744447,0,0,0.9543859649122807,0.8891843971631206,0.9114460668864814,0.8751835535976505,26.200873362445414,25.925074695472304,24.39669041599632,23.477361526085957
Unripe,0.004094732182381585,0,0,0.959049959049959,0.8824786324786325,0.9300699300699301,0.8532818532818532,27.136348483164795,26.00288920991221,23.835981775752863,23.02478053117013
Unripe,0.0,0,0,0.8925619834710744,0.8660213958227203,0.7598587404355504,0.8698495748855462,28.380242825607066,27.083333333333332,23.440949227373068,21.095474613686534
Unripe,0.0,0,0,0.8847474252084355,0.8713692946058091,0.8124645892351274,0.8680104031209362,28.046767537826682,26.51994497936726,24.277854195323243,21.155433287482804
Unripe,0.0,0,0,0.7944189332391381,0.8477366255144033,0.8713264495631453,0.8853375948861366,26.897862232779097,25.396674584323044,23.92399049881235,23.78147268408551
Unripe,0.0,0,0,0.9280430396772025,0.8311827956989247,0.8685464654487689,0.8076588337684943,28.109640831758032,26.370510396975426,23.79962192816635,21.72022684310019
Unripe,0.017467734757454383,0,0,0.9479748603351955,0.9133138258961229,0.8457175269427113,0.8768707482993198,32.43120824368701,30.959121277318534,19.963764013135545,16.645906465858907
Unripe,0.0,0,0,0.9448155678187627,0.9582037996545768,0.9374313940724479,0.9448051948051948,29.848287819679236,25.097529258777634,23.693107932379714,21.361074989163413
Unripe,0.017027863777089782,0,0,0.9551760939167556,0.9146520146520146,0.8288973384030418,0.9137931034482759,31.619797525309334,30.708661417322837,20.708661417322833,16.962879640044996
Unripe,0.07529472506668962,0,0,0.9831955922865013,0.909572706194104,0.9611248966087675,0.8755211435378202,33.78001116694584,28.09417457658664,22.50139586823004,15.624418388237485
Unripe,0.07315395856614802,0,0,0.9783633841886269,0.9093315684976837,0.9580618892508144,0.872277810476751,33.435355221665745,28.02819514004823,22.778705249489892,15.75774438879614
Unripe,0.016122637769261264,0,0,0.9722567287784679,0.9241573033707865,0.9815256257449344,0.9631043256997456,32.43787777031565,23.9086635325722,22.538616521155138,21.11484217595702
Unripe,0.011897263629365246,0,0,0.9395939086294416,0.9452544704264099,0.8368814729574223,0.8393089960886571,27.90565904100857,25.745449394433034,24.61930731638218,21.729584248176216
Unripe,0.006214227309893704,0,0,0.9543049543049543,0.9567430025445293,0.8655737704918033,0.9200492004920049,34.210959354944876,32.33503373375021,20.075695244363995,13.378311666940926
Unripe,0.005271188791788043,0,0,0.9449116904962153,0.9257469244288224,0.8353413654618473,0.8895405669599218,33.16134430344443,31.738948542741596,20.833914377353228,14.265792776460746
Unripe,0.0004923682914820286,0,0,0.9860957845950121,0.9214285714285714,0.9602459016393443,0.8484493856056173,37.20032840722496,28.735632183908045,20.032840722495894,14.031198686371098
Unripe,0.0006561141638645124,0,0,0.9801455989410987,0.9192064404830362,0.9579591836734694,0.8538283062645011,37.201477226097666,28.543290931473127,20.106688551497744,14.148543290931473
Unripe,0.020172103261957175,0,0,0.9353598881900769,0.9459568733153639,0.9982010793523886,0.9737903225806451,35.07209672807483,30.309219394632574,20.436256688860748,14.182427188431845
Unripe,0.000997804829375374,0,0,0.9501980758347481,0.9163987138263665,0.8803921568627451,0.9046153846153846,35.297642828605674,24.850179784258888,20.375549340791054,19.476628046344388
Unripe,0.03364844318106697,0,0,0.9965309898242368,0.9890083048363458,0.9915138242540378,0.950530035335689,29.57996990012314,28.00656724586127,24.98973867834177,17.423724175673826
Unripe,0.008119557542951282,0,0,0.9513339196716506,0.9633644049425536,1.0,0.9502467105263158,40.46743385929529,27.363862854431133,17.74231818721082,14.426385099062761
Unripe,0.008557309871037724,0,0,0.9735843327766813,0.9546070460704607,1.0,0.9268495428096426,40.037685387794795,26.914660831509845,18.423292000972527,14.62436177972283
