class,n_sampled,mean_coverage,min_coverage,max_coverage,n_failed,n_polarity_bright,n_polarity_dark
Unripe,12,0.41990526679421764,0.286930006377551,0.6331911670918368,0,11,1
Ripe,12,0.30568399234693877,0.09460698341836735,0.48036910076530615,0,8,4
Rotten,12,0.25452075361394555,0.03559470663265306,0.7693120216836735,2,2,10
