,Unripe,Ripe,Rotten
Unripe,0.559322033898305,0.3389830508474576,0.1016949152542373
Ripe,0.11864406779661017,0.7966101694915254,0.0847457627118644
Rotten,0.13333333333333333,0.36666666666666664,0.5
