,Unripe,Ripe,Rotten
Unripe,0.9491525423728814,0.05084745762711865,0.0
Ripe,0.01694915254237288,0.864406779661017,0.11864406779661017
Rotten,0.03333333333333333,0.15,0.8166666666666667
