technique,kind,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,cv_fold1_accuracy,cv_fold2_accuracy,cv_fold3_accuracy,cv_fold4_accuracy,cv_fold5_accuracy
T1,individual,37,0.8482269503546099,0.022060043992901845,0.8481939139292081,0.864406779661017,0.8633597011645792,0.861891221523301,0.8333333333333334,0.8723404255319149,0.8333333333333334,0.8723404255319149,0.8297872340425532
T2,individual,40,0.535904255319149,0.038563829787234064,0.529268524919934,0.5423728813559322,0.5407169715615248,0.5404216738780978,0.5625,0.48936170212765956,0.5,0.5531914893617021,0.574468085106383
T3,individual,36,0.6835992907801419,0.06932799829084017,0.6788131761708611,0.5932203389830508,0.5919489154405714,0.5912337048300147,0.6041666666666666,0.7446808510638298,0.75,0.7021276595744681,0.6170212765957447
E1,enhancement,113,0.865336879432624,0.04219196935501379,0.865845365610355,0.8813559322033898,0.8792133597011645,0.8784063104030033,0.8333333333333334,0.9148936170212766,0.8125,0.8936170212765957,0.8723404255319149
E2,enhancement,154,0.865336879432624,0.04219196935501379,0.8657530285515629,0.8813559322033898,0.8800437288809381,0.879314352708125,0.8125,0.9148936170212766,0.8333333333333334,0.8936170212765957,0.8723404255319149
E3,enhancement,-1,0.8398049645390071,0.03116043323618639,0.8391592979929694,0.864406779661017,0.8633597011645792,0.861891221523301,0.8125,0.8723404255319149,0.8333333333333334,0.8723404255319149,0.8085106382978723
