,Unripe,Ripe,Rotten
Unripe,0.8120805369127517,0.14093959731543623,0.04697986577181208
Ripe,0.19375,0.6625,0.14375
Rotten,0.06289308176100629,0.10062893081761007,0.8364779874213837
