,precision,recall,f1,support
Unripe,0.7469135802469136,0.8120805369127517,0.7781350482315113,149
Ripe,0.7412587412587412,0.6625,0.6996699669966997,160
Rotten,0.8159509202453987,0.8364779874213837,0.8260869565217391,159
