technique_a,technique_b,mean_a,mean_b,mean_difference,t_statistic,p_value,p_value_holm,significant_holm,better,n_folds
T1,T2,0.9045671687498636,0.6235117752427553,0.2810553935071085,26.773665864244073,1.1568888134023332e-05,3.470666440207e-05,True,T1,5
T1,T3,0.9045671687498636,0.7587809076483082,0.1457862611015554,19.508250127773543,4.071067368459362e-05,8.142134736918724e-05,True,T1,5
T2,T3,0.6235117752427553,0.7587809076483082,-0.1352691324055531,-9.502467945692185,0.0006845464445796486,0.0006845464445796486,True,T3,5
