path,class_folder,source,variant,coverage,reason,substituted
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (273).jpg,UnripeApple,primary,1,0.0926937181122449,"GrabCut grew to only 1.49x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (273).jpg,UnripeApple,primary,2,0.08994339923469388,"GrabCut grew to only 1.44x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (273).jpg,UnripeApple,primary,3,0.09002311862244898,"GrabCut grew to only 1.45x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (274).jpg,UnripeApple,primary,0,0.09271364795918367,"GrabCut grew to only 1.49x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (274).jpg,UnripeApple,primary,1,0.09167729591836735,"GrabCut grew to only 1.47x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (274).jpg,UnripeApple,primary,2,0.09008290816326531,"GrabCut grew to only 1.45x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (274).jpg,UnripeApple,primary,3,0.09141820790816327,"GrabCut grew to only 1.47x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (275).jpg,UnripeApple,primary,2,0.08460220025510204,"GrabCut grew to only 1.36x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (276).jpg,UnripeApple,primary,1,0.08954480229591837,"GrabCut grew to only 1.44x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (291).jpg,UnripeApple,primary,3,0.06756218112244898,"GrabCut grew to only 1.08x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (321).jpg,UnripeApple,primary,0,0.08057637117346939,"GrabCut grew to only 1.29x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (321).jpg,UnripeApple,primary,1,0.08047672193877552,"GrabCut grew to only 1.29x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (321).jpg,UnripeApple,primary,2,0.07880261479591837,"GrabCut grew to only 1.27x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (322).jpg,UnripeApple,primary,0,0.08065609056122448,"GrabCut grew to only 1.30x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (322).jpg,UnripeApple,primary,1,0.08324697066326531,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (322).jpg,UnripeApple,primary,2,0.07916135204081633,"GrabCut grew to only 1.27x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (322).jpg,UnripeApple,primary,3,0.07916135204081633,"GrabCut grew to only 1.27x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (323).jpg,UnripeApple,primary,3,0.09099968112244898,"GrabCut grew to only 1.46x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (324).jpg,UnripeApple,primary,1,0.09163743622448979,"GrabCut grew to only 1.47x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (324).jpg,UnripeApple,primary,2,0.09291294642857142,"GrabCut grew to only 1.49x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (333).jpg,UnripeApple,primary,0,0.08143335459183673,"GrabCut grew to only 1.31x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (333).jpg,UnripeApple,primary,2,0.08346619897959184,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (334).jpg,UnripeApple,primary,0,0.08318718112244898,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (334).jpg,UnripeApple,primary,2,0.08340640943877552,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (382).jpg,UnripeApple,primary,0,0.08888711734693877,"GrabCut grew to only 1.43x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (382).jpg,UnripeApple,primary,3,0.08906648596938775,"GrabCut grew to only 1.43x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (401).jpg,UnripeApple,primary,0,0.08545918367346939,"GrabCut grew to only 1.37x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (401).jpg,UnripeApple,primary,1,0.0821109693877551,"GrabCut grew to only 1.32x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (401).jpg,UnripeApple,primary,2,0.08508051658163265,"GrabCut grew to only 1.37x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (401).jpg,UnripeApple,primary,3,0.08834901147959184,"GrabCut grew to only 1.42x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (403).jpg,UnripeApple,primary,0,0.08346619897959184,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (403).jpg,UnripeApple,primary,1,0.08320711096938775,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (403).jpg,UnripeApple,primary,2,0.08388472576530612,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (403).jpg,UnripeApple,primary,3,0.08310746173469388,"GrabCut grew to only 1.33x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (458).jpg,UnripeApple,primary,0,0.07774633290816327,"GrabCut grew to only 1.25x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (458).jpg,UnripeApple,primary,1,0.07575334821428571,"GrabCut grew to only 1.22x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (458).jpg,UnripeApple,primary,3,0.07973931760204081,"GrabCut grew to only 1.28x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (475).jpg,UnripeApple,primary,3,0.08910634566326531,"GrabCut grew to only 1.43x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (493).jpg,UnripeApple,primary,0,0.08751195790816327,"GrabCut grew to only 1.41x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (493).jpg,UnripeApple,primary,1,0.0839046556122449,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (493).jpg,UnripeApple,primary,2,0.08717315051020408,"GrabCut grew to only 1.40x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (494).jpg,UnripeApple,primary,0,0.08605707908163265,"GrabCut grew to only 1.38x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (494).jpg,UnripeApple,primary,1,0.08260921556122448,"GrabCut grew to only 1.33x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (494).jpg,UnripeApple,primary,2,0.08595742984693877,"GrabCut grew to only 1.38x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (494).jpg,UnripeApple,primary,3,0.08280851403061225,"GrabCut grew to only 1.33x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (533).jpg,UnripeApple,primary,2,0.0839046556122449,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (547).jpg,UnripeApple,primary,1,0.07399952168367346,"GrabCut grew to only 1.19x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (552).jpg,UnripeApple,primary,1,0.09165736607142858,"GrabCut grew to only 1.47x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (552).jpg,UnripeApple,primary,2,0.08472177933673469,"GrabCut grew to only 1.36x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (552).jpg,UnripeApple,primary,3,0.09233498086734694,"GrabCut grew to only 1.48x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (555).jpg,UnripeApple,primary,2,0.09183673469387756,"GrabCut grew to only 1.47x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (566).jpg,UnripeApple,primary,1,0.09253427933673469,"GrabCut grew to only 1.49x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (57).jpg,UnripeApple,primary,0,0.0905014349489796,"GrabCut grew to only 1.45x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (57).jpg,UnripeApple,primary,1,0.08452248086734694,"GrabCut grew to only 1.36x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (57).jpg,UnripeApple,primary,2,0.08575813137755102,"GrabCut grew to only 1.38x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (57).jpg,UnripeApple,primary,3,0.09131855867346939,"GrabCut grew to only 1.47x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (58).jpg,UnripeApple,primary,0,0.08374521683673469,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (58).jpg,UnripeApple,primary,1,0.09026227678571429,"GrabCut grew to only 1.45x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (58).jpg,UnripeApple,primary,2,0.08605707908163265,"GrabCut grew to only 1.38x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (58).jpg,UnripeApple,primary,3,0.083984375,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (587).jpg,UnripeApple,primary,1,0.08199139030612244,"GrabCut grew to only 1.32x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (588).jpg,UnripeApple,primary,3,0.08183195153061225,"GrabCut grew to only 1.31x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (625).jpg,UnripeApple,primary,3,0.07280373086734694,"GrabCut grew to only 1.17x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (643).jpg,UnripeApple,primary,3,0.09315210459183673,"GrabCut grew to only 1.50x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (644).jpg,UnripeApple,primary,1,0.08667490433673469,"GrabCut grew to only 1.39x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (655).jpg,UnripeApple,primary,1,0.09183673469387756,"GrabCut grew to only 1.47x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
