,precision,recall,f1,support
Unripe,0.9735099337748344,0.9865771812080537,0.98,149
Ripe,0.9363057324840764,0.91875,0.9274447949526814,160
Rotten,0.9375,0.9433962264150944,0.9404388714733543,159
