strategy,techniques,dropped,cv_mean_accuracy,cv_std_accuracy
E1_feature_fusion,T1+T2,T3,0.905079449864019,0.008373321283604653
E3_decision_fusion,T1+T2,T3,0.9045671687498636,0.010005551616359352
E1_feature_fusion,T1+T3,T2,0.9326490690666469,0.011718776239422286
E3_decision_fusion,T1+T3,T2,0.9040394642643754,0.010217431261614387
E1_feature_fusion,T2+T3,T1,0.719525815012668,0.018956035471040987
E3_decision_fusion,T2+T3,T1,0.7518772488549943,0.015200866916024187
