technique,kind,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,cv_fold1_accuracy,cv_fold2_accuracy,cv_fold3_accuracy,cv_fold4_accuracy,cv_fold5_accuracy
T1,individual,37,0.9045671687498636,0.010005551616359352,0.905009417242318,0.9487179487179487,0.9492945554753452,0.9485917687108811,0.8994708994708994,0.9204244031830239,0.9066666666666666,0.8938992042440318,0.9023746701846965
T2,individual,40,0.6235117752427553,0.030867523070375012,0.6231464604808229,0.6132478632478633,0.6134543779556646,0.6120081711667621,0.6137566137566137,0.6737400530503979,0.5973333333333334,0.6021220159151194,0.6306068601583114
T3,individual,36,0.7587809076483082,0.02261129697898028,0.757721797105725,0.7692307692307693,0.7679639905833167,0.7676007328908624,0.7671957671957672,0.7771883289124668,0.7786666666666666,0.726790450928382,0.7440633245382586
E1,enhancement,113,0.9236219909085344,0.01319189187388622,0.9240243296642525,0.9529914529914529,0.9532622849818556,0.9529303526563174,0.9126984126984127,0.9177718832891246,0.9146666666666666,0.9283819628647215,0.9445910290237467
E2,enhancement,154,0.9374223583753561,0.012572501795608206,0.9377156628002747,0.9743589743589743,0.9744343882948617,0.9744397738370973,0.9365079365079365,0.9389920424403183,0.9413333333333334,0.9177718832891246,0.9525065963060686
E3,enhancement,-1,0.9114666320062735,0.00987044178951733,0.9117221754947746,0.9529914529914529,0.9531107717653802,0.9526234424196636,0.9047619047619048,0.9257294429708223,0.9173333333333333,0.9018567639257294,0.9076517150395779
