technique_a,technique_b,mean_a,mean_b,mean_difference,t_statistic,p_value,n_folds,meets_3pt_target
E1,T1,0.9236219909085344,0.9045671687498636,0.01905482215867078,2.2759808804391004,0.08516339456377744,5,False
E2,T1,0.9374223583753561,0.9045671687498636,0.03285518962549263,5.978245144997992,0.0039345568522973105,5,True
E3,T1,0.9114666320062735,0.9045671687498636,0.006899463256409888,6.423603133284708,0.0030195028431140255,5,False
