arm,config_key,dropped_feature,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,recall_Unripe,recall_Ripe,recall_Rotten,precision_Unripe,precision_Ripe,precision_Rotten,extraction_mean_s,fit_seconds_mean,pipeline_stages,rows,n_colours,reference_arm,paired_diff_mean,paired_diff_sd,within_noise,paired_t_supporting,paired_p_supporting
N=3,n3,,29,0.8727450072277658,0.0059697972027302,0.8728166190857076,0.006862544858284,0.8756613756613757,0.8753315649867374,0.8753315649867374,0.8620689655172413,0.8753315649867374,0.9691056910569106,0.8753943217665615,0.7770800627943485,0.9430379746835444,0.8043478260869565,0.8776595744680851,0.025394234987033,0.0418118800036609,4,1886,3,N=4,-0.010596045078803695,0.014140885546915557,True,-1.6755299383655118,0.1691397519131306
N=4,t1_default,,37,0.8833410523065695,0.01485044214636,0.8834933144294261,0.0149194077701246,0.902116402116402,0.8726790450928382,0.870026525198939,0.8753315649867374,0.896551724137931,0.9723577235772358,0.8753943217665615,0.8053375196232339,0.9417322834645668,0.8210059171597633,0.8921739130434783,0.0288652319812698,0.035671759955585,4,1886,4,N=4,0.0,0.0,True,,
N=5,n5,,45,0.8828189690258655,0.0139782619309452,0.8825102160953369,0.014475052284742,0.8862433862433863,0.9045092838196288,0.8806366047745358,0.8673740053050398,0.8753315649867374,0.9804878048780488,0.886435331230284,0.7849293563579278,0.936335403726708,0.8168604651162791,0.9025270758122744,0.0341386333459046,0.0433264999650418,4,1886,5,N=4,-0.0005220832807039111,0.021736752141475725,True,-0.05370690607188351,0.9597440074306216
N=6,n6,,53,0.878044433216847,0.0114622081814742,0.8779179644377704,0.0113829625390294,0.8862433862433863,0.8885941644562334,0.8779840848806366,0.8779840848806366,0.8594164456233422,0.9739837398373984,0.8911671924290221,0.7723704866562009,0.9462875197472354,0.8071428571428572,0.8896925858951176,0.0377672282662361,0.0411056199111044,4,1886,6,N=4,-0.005296619089722498,0.021297654310859317,True,-0.5560988155162098,0.6077820105011239
