arm,config_key,dropped_feature,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,recall_Unripe,recall_Ripe,recall_Rotten,precision_Unripe,precision_Ripe,precision_Rotten,extraction_mean_s,fit_seconds_mean,pipeline_stages,rows,decay_exclude_green,prediction_sha256,reference_arm,paired_diff_mean,paired_diff_sd,within_noise,paired_t_supporting,paired_p_supporting
decay as published,t1_default,,37,0.8833410523065695,0.01485044214636,0.8834933144294261,0.0149194077701246,0.902116402116402,0.8726790450928382,0.870026525198939,0.8753315649867374,0.896551724137931,0.9723577235772358,0.8753943217665615,0.8053375196232339,0.9417322834645668,0.8210059171597633,0.8921739130434783,0.0288652319812698,0.0354016200639307,4,1886,False,186d48fa84f960b3783a090edaf9afc3707ee1aa33aa85df969501590aa442bd,decay as published,0.0,0.0,True,,
decay excluding green,decay_green_excluded,,37,0.8812190363914503,0.0171048794313667,0.8814948429650473,0.0169375058510981,0.902116402116402,0.8647214854111406,0.8673740053050398,0.8753315649867374,0.896551724137931,0.967479674796748,0.8769716088328076,0.8021978021978022,0.9414556962025316,0.8176470588235294,0.8902439024390244,0.0287449441636366,0.0376853000372648,4,1886,True,186d48fa84f960b3783a090edaf9afc3707ee1aa33aa85df969501590aa442bd,decay as published,-0.0021220159151193576,0.0034584628144311252,True,-1.3719886811400623,0.2419815305680233
