arm,config_key,dropped_feature,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,recall_Unripe,recall_Ripe,recall_Rotten,precision_Unripe,precision_Ripe,precision_Rotten,extraction_mean_s,fit_seconds_mean,pipeline_stages,rows,blocks,reference_arm,paired_diff_mean,paired_diff_sd,within_noise,paired_t_supporting,paired_p_supporting
A (clusters),blocks_A,,28,0.8669094634611876,0.0091510144208962,0.8671246173854463,0.0093435852745628,0.8756613756613757,0.8594164456233422,0.8594164456233422,0.8620689655172413,0.8779840848806366,0.9642276422764228,0.8659305993690851,0.7739403453689168,0.9412698412698411,0.7933526011560693,0.874113475177305,0.0277939773626894,0.0435884000733494,4,1886,A,A+B+C (complete),-0.016431588845381918,0.006304898301793103,False,-5.827556270995179,0.004319374667436581
A+B (with coherency),blocks_AB,,32,0.881221843290809,0.0151220006422907,0.8815806205861613,0.0150309644417779,0.8968253968253969,0.8753315649867374,0.8620689655172413,0.8753315649867374,0.896551724137931,0.9658536585365852,0.8769716088328076,0.8037676609105181,0.9473684210526316,0.8140556368960469,0.8888888888888888,0.0283992327678126,0.0346734999679029,4,1886,AB,A+B+C (complete),-0.0021192090157607256,0.004355976371674528,True,-1.0878606800040451,0.33781615894214007
A+B+C (complete),t1_default,,37,0.8833410523065695,0.01485044214636,0.8834933144294261,0.0149194077701246,0.902116402116402,0.8726790450928382,0.870026525198939,0.8753315649867374,0.896551724137931,0.9723577235772358,0.8753943217665615,0.8053375196232339,0.9417322834645668,0.8210059171597633,0.8921739130434783,0.0288652319812698,0.0359882598742842,4,1886,ABC,A+B+C (complete),0.0,0.0,True,,
A+B+C minus decay share,t1_default,T1_decay_share,36,0.8796289279047897,0.0171234446190121,0.8798266557228438,0.0172377779618846,0.8994708994708994,0.870026525198939,0.8620689655172413,0.870026525198939,0.896551724137931,0.9691056910569106,0.8722397476340694,0.8006279434850864,0.9415481832543444,0.8144329896907216,0.8885017421602788,0.0288652319812698,0.0347843399271369,4,1886,ABC-decay,A+B+C (complete),-0.003712124401779571,0.0030249550162506403,False,-2.7440284099177155,0.051690815316687205
