arm,config_key,pipeline_stages,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,recall_Unripe,recall_Ripe,recall_Rotten,extraction_mean_s,rows,space,reference_arm,paired_diff_mean,paired_diff_sd,within_noise,paired_t_supporting,paired_p_supporting
space_lab,baseline,4,37,0.8833410523065695,0.014850442146360054,0.8834933144294261,0.014919407770124609,0.9021164021164021,0.8726790450928382,0.870026525198939,0.8753315649867374,0.896551724137931,0.9723577235772358,0.8753943217665615,0.8053375196232339,0.03446598250265075,1886,LAB,space_lab,0.0,0.0,True,,
space_hsv,space_hsv,4,37,0.8674301432922122,0.026396416833242477,0.8674960889849137,0.02642349382867553,0.8941798941798942,0.8938992042440318,0.8647214854111406,0.8488063660477454,0.8355437665782494,0.9609756097560975,0.8296529968454258,0.814756671899529,0.03409255630964221,1886,HSV,space_lab,-0.015910909014357277,0.030418738862005794,True,-1.1696038518005498,0.307098788225531
space_rgb,space_rgb,4,37,0.8806969531107463,0.011896882834206873,0.8808796476040973,0.011991453933595176,0.8862433862433863,0.8726790450928382,0.8992042440318302,0.8726790450928382,0.8726790450928382,0.9739837398373984,0.8738170347003155,0.7974882260596546,0.03440105572640075,1886,RGB,space_lab,-0.002644099195823313,0.020281002644020368,True,-0.2915233356501069,0.7851442098393273
