arm,config_key,dropped_feature,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,recall_Unripe,recall_Ripe,recall_Rotten,precision_Unripe,precision_Ripe,precision_Rotten,extraction_mean_s,fit_seconds_mean,pipeline_stages,rows,mean_pixels_excluded_pct,max_pixels_excluded_pct,fallback_images,reference_arm,paired_diff_mean,paired_diff_sd,within_noise,paired_t_supporting,paired_p_supporting
specular=on,t1_default,,37,0.8833410523065695,0.01485044214636,0.8834933144294261,0.0149194077701246,0.902116402116402,0.8726790450928382,0.870026525198939,0.8753315649867374,0.896551724137931,0.9723577235772358,0.8753943217665615,0.8053375196232339,0.9417322834645668,0.8210059171597633,0.8921739130434783,0.0288652319812698,0.0356745598837733,4,1886,1.4777845672697392,49.068434252955925,0,specular=on,0.0,0.0,True,,
specular=off,specular_off,,37,0.8865184623805312,0.0180155320173731,0.8868752149333645,0.0177948222873038,0.9126984126984128,0.8779840848806366,0.8673740053050398,0.8779840848806366,0.896551724137931,0.9723577235772358,0.88801261829653,0.8021978021978022,0.9522292993630572,0.8183139534883721,0.8964912280701754,0.0276334033367912,0.035713639948517,3,1886,0.0,0.0,0,specular=on,0.0031774100739618617,0.005092014453838556,True,1.3953033680836093,0.23540403427147247
