,images_per_class,draws,ratio_rotten_over_unripe_mean,ratio_sd,ratio_p05,ratio_p95,unripe_decay_mean,rotten_decay_mean,is_full_partition
0,30,400,1.3027728599397712,0.5354014085861581,0.6286817919498728,2.380611639828254,10.529169138069697,12.160900013728101,False
1,45,400,1.201936855467917,0.3779964521576034,0.7087056080605236,1.8069028057032543,10.529169138069697,12.160900013728101,False
2,60,400,1.1997062996664873,0.31902389141256804,0.7425549082496223,1.7354606610196546,10.529169138069697,12.160900013728101,False
3,100,400,1.1820590333611927,0.23121813570950317,0.8608915150479033,1.61784911358609,10.529169138069697,12.160900013728101,False
4,200,400,1.1943573168261883,0.14184955179037295,0.9764834341928599,1.4344123427616704,10.529169138069697,12.160900013728101,False
5,400,400,1.1597726974778613,0.08310897752489822,1.0312843845507416,1.3056379144915538,10.529169138069697,12.160900013728101,False
6,615,1,1.1864394788895625,0.0,1.1864394788895625,1.1864394788895625,10.529169138069697,12.160900013728101,True
