table,arm,reference_arm,paired_diff_mean,paired_diff_sd,band_distinguishes,test_distinguishes,paired_p_supporting,criteria_agree
e1_1,colour_histogram,dominant_colour,-0.0005234867303832,0.0149269455744281,False,False,0.9412611904295696,True
e1_2,N=3,N=4,-0.0105960450788036,0.0141408855469155,False,False,0.1691397519131306,True
e1_2,N=5,N=4,-0.0005220832807039,0.0217367521414757,False,False,0.9597440074306216,True
e1_2,N=6,N=4,-0.0052966190897224,0.0212976543108593,False,False,0.6077820105011239,True
e1_3,space=HSV,space=LAB,-0.0159109090143572,0.0304187388620058,False,False,0.3070987882255316,True
e1_3,space=RGB,space=LAB,-0.0026440991958232,0.0202810026440203,False,False,0.7851442098393289,True
e1_4,specular=off,specular=on,0.0031774100739618,0.0050920144538385,False,False,0.2354040342714724,True
e1_5,A (clusters),A+B+C (complete),-0.0164315888453819,0.0063048983017931,True,True,0.0043193746674365,True
e1_5,A+B (with coherency),A+B+C (complete),-0.0021192090157607,0.0043559763716745,False,False,0.33781615894214,True
e1_5,A+B+C minus decay share,A+B+C (complete),-0.0037121244017795,0.0030249550162506,True,False,0.0516908153166872,False
e1_6,decay excluding green,decay as published,-0.0021220159151193,0.0034584628144311,False,False,0.2419815305680233,True
