true,Unripe,Ripe,Rotten
Unripe,0.8406504065040651,0.1024390243902439,0.056910569105691054
Ripe,0.17981072555205047,0.668769716088328,0.15141955835962145
Rotten,0.08006279434850863,0.15070643642072212,0.7692307692307693
