true,Unripe,Ripe,Rotten
Unripe,0.9739837398373984,0.026016260162601626,0.0
Ripe,0.033123028391167195,0.9069400630914827,0.05993690851735016
Rotten,0.0141287284144427,0.10204081632653061,0.8838304552590267
