arm,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,extraction_mean_s,rows,blemish_method,mean_blemish_ratio_pct,mean_blemish_count,pct_images_with_no_blemish,mean_abs_deviation_from_bth_otsu_pct,mean_abs_ratio_error_vs_annotation,annotations_available,mean_blemish_ratio_Unripe,mean_blemish_ratio_Ripe,mean_blemish_ratio_Rotten
bth_otsu,36,0.7163291370187922,0.006308280722182949,0.7151074138590854,0.006315434753629741,0.7195767195767195,0.7214854111405835,0.7108753315649867,0.7214854111405835,0.7082228116710876,0.015382027518546705,1886,bth_otsu,19.304535063059497,10.651643690349948,0.0,0.0,,False,18.552863300564372,17.155427801404826,22.16923229669146
fixed,36,0.7147362216327733,0.017226384667147154,0.71359214645155,0.017841506528442973,0.7222222222222222,0.6870026525198939,0.7214854111405835,0.7320954907161804,0.7108753315649867,0.013807077836698522,1886,fixed,23.188126951966947,9.539236479321316,0.0,5.381570064616358,,False,22.596568570036087,18.78931870391226,28.137346471832167
hue_deviation,36,0.741241772276255,0.022445716074432444,0.7407989879078001,0.021798841982611065,0.7592592592592593,0.7374005305039788,0.7188328912466844,0.7692307692307693,0.7214854111405835,0.01501776654297067,1886,hue_deviation,31.83314120712702,10.292682926829269,0.10604453870625664,16.279274373407905,,False,34.11470573064871,33.014545690716204,28.45453426119079
