arm,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,extraction_mean_s,rows,se_shape
ellipse,36,0.7163291370187922,0.006308280722182949,0.7151074138590854,0.006315434753629741,0.7195767195767195,0.7214854111405835,0.7108753315649867,0.7214854111405835,0.7082228116710876,0.015382027518546705,1886,ellipse
rect,36,0.7115630219078495,0.018987945452796785,0.7108902378357593,0.018796322293479335,0.7037037037037037,0.7241379310344828,0.6816976127320955,0.7214854111405835,0.726790450928382,0.011971393425226708,1886,rect
cross,36,0.7120935258866293,0.012388674908402553,0.7103039382940259,0.012873379812895524,0.7037037037037037,0.6949602122015915,0.7214854111405835,0.7241379310344828,0.7161803713527851,0.016381274019092694,1886,cross
