arm,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,extraction_mean_s,rows,r_max,expected_dim
r_max_5,32,0.6882194433918573,0.015867810715449602,0.6857014898388819,0.01697755769820957,0.7063492063492064,0.6843501326259946,0.6657824933687002,0.7002652519893899,0.6843501326259946,0.014520144697770555,1886,5,32
r_max_7,36,0.7163291370187922,0.006308280722182949,0.7151074138590854,0.006315434753629741,0.7195767195767195,0.7214854111405835,0.7108753315649867,0.7214854111405835,0.7082228116710876,0.015382027518546705,1886,7,36
r_max_9,40,0.7189788500133327,0.023168250005584923,0.718605003971813,0.023074257650821904,0.7248677248677249,0.7002652519893899,0.6949602122015915,0.753315649867374,0.7214854111405835,0.015417385843074076,1886,9,40
r_max_11,44,0.7115602150084909,0.017300924241757887,0.7113811998406001,0.01730470374787305,0.708994708994709,0.6949602122015915,0.6949602122015915,0.7294429708222812,0.7294429708222812,0.016775682449609808,1886,11,44
