arm,dimensionality,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,fold1_accuracy,fold2_accuracy,fold3_accuracy,fold4_accuracy,fold5_accuracy,extraction_mean_s,rows,blocks,first_feature,last_feature
full_36,36,0.7163291370187922,0.006308280722182949,0.7151074138590854,0.006315434753629741,0.7195767195767195,0.7214854111405835,0.7108753315649867,0.7214854111405835,0.7082228116710876,0.015382027518546705,1886,ABCDE,gran_open_r1,blemish_eqdiam_max
blocks_CD_only,10,0.5890909856427098,0.030400651679667032,0.5879955281770155,0.030285834961895294,0.5634920634920635,0.610079575596817,0.5570291777188329,0.6286472148541115,0.5862068965517241,0.015382027518546705,1886,CD,bth_mean,mgrad_std
blocks_AB_only,18,0.6145130731337629,0.028713776324875456,0.6112117811453108,0.02898546730211386,0.6428571428571429,0.596816976127321,0.583554376657825,0.6472148541114059,0.6021220159151194,0.015382027518546705,1886,AB,gran_open_r1,gran_spread
